A_C M/S/B exact-fiber comparison mechanical verifier
Snapshot date: 2026-08-30
Orientation: U-M
Claim boundary: mechanical checks only; no PBE-completeness or abstract-factorization claim

PASS | frozen byte hash: quality_reports/plans/2026-08-30_autorizacao_inicio_A_C_msb.md
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) T5 algebraic identity
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) T5 sign equivalence
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) low-cell margin identity
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) parity identity for c/m
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) nu_star is interior
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) T5 algebraic identity
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) T5 sign equivalence
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) low-cell margin identity
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) parity identity for c/m
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[6]:N=4,beta=0.60,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) nu_star is interior
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) T5 algebraic identity
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) T5 sign equivalence
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) low-cell margin identity
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) parity identity for c/m
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[7]:N=5,beta=0.60,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) nu_star is interior
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) T5 algebraic identity
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) T5 sign equivalence
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) low-cell margin identity
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) parity identity for c/m
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[8]:N=13,beta=0.60,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) nu_star is interior
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) T5 algebraic identity
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) T5 sign equivalence
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) low-cell margin identity
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) parity identity for c/m
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[9]:N=3,beta=0.90,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) nu_star is interior
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) T5 algebraic identity
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) T5 sign equivalence
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) low-cell margin identity
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) parity identity for c/m
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[10]:N=4,beta=0.90,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) nu_star is interior
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) T5 algebraic identity
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) T5 sign equivalence
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) low-cell margin identity
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) parity identity for c/m
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[11]:N=5,beta=0.90,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) nu_star is interior
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) T5 algebraic identity
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) T5 sign equivalence
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) low-cell margin identity
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) parity identity for c/m
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[12]:N=13,beta=0.90,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) nu_star is interior
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) T5 algebraic identity
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) T5 sign equivalence
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) low-cell margin identity
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) parity identity for c/m
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[13]:N=3,beta=0.99,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) nu_star is interior
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) T5 algebraic identity
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) T5 sign equivalence
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) low-cell margin identity
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) parity identity for c/m
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[14]:N=4,beta=0.99,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) nu_star is interior
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) T5 algebraic identity
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) T5 sign equivalence
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) low-cell margin identity
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) parity identity for c/m
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[15]:N=5,beta=0.99,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) nu_star is interior
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) T5 algebraic identity
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) T5 sign equivalence
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) low-cell margin identity
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) parity identity for c/m
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[16]:N=13,beta=0.99,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) nu_star is interior
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) T5 algebraic identity
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) T5 sign equivalence
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) low-cell margin identity
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) parity identity for c/m
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) strict T5 region has Z_E above all U values
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) low cell at p=0 follows Delta condition
